,bench_prior,wins,scores,fidelity,zone,benchmark,prior
368,B-8_bad,0.0,0.0,16.0,12_18,B-8,bad
369,B-9_bad,0.0,0.0,16.0,12_18,B-9,bad
370,B-10_bad,0.0,0.0,16.0,12_18,B-10,bad
371,B-11_bad,0.0,0.0,16.0,12_18,B-11,bad
372,B-6_at25,1.0,-0.005,16.0,12_18,B-6,at25
373,B-8_at25,1.0,-0.051,16.0,12_18,B-8,at25
374,B-11_at25,1.0,-0.045,16.0,12_18,B-11,at25
375,B-1_at25,0.0,0.0,16.0,12_18,B-1,at25
376,B-0_at25,0.0,0.0,16.0,12_18,B-0,at25
377,B-9_at25,0.0,0.0,16.0,12_18,B-9,at25
378,B-5_at25,1.0,-0.025,16.0,12_18,B-5,at25
379,B-10_at25,1.0,-0.003,16.0,12_18,B-10,at25
380,B-3_at25,1.0,-0.021,16.0,12_18,B-3,at25
381,B-4_at25,1.0,-0.014,16.0,12_18,B-4,at25
382,B-7_at25,1.0,-0.012,16.0,12_18,B-7,at25
383,B-2_at25,1.0,-0.029,16.0,12_18,B-2,at25
384,B-0_bad,0.0,0.0,17.0,12_18,B-0,bad
385,B-1_bad,0.0,0.0,17.0,12_18,B-1,bad
386,B-2_bad,0.0,0.0,17.0,12_18,B-2,bad
387,B-3_bad,1.0,-0.017,17.0,12_18,B-3,bad
388,B-4_bad,0.0,0.0,17.0,12_18,B-4,bad
389,B-5_bad,0.0,0.0,17.0,12_18,B-5,bad
390,B-6_bad,0.0,0.0,17.0,12_18,B-6,bad
391,B-7_bad,0.0,0.0,17.0,12_18,B-7,bad
392,B-8_bad,0.0,0.0,17.0,12_18,B-8,bad
393,B-9_bad,0.0,0.0,17.0,12_18,B-9,bad
394,B-10_bad,0.0,0.0,17.0,12_18,B-10,bad
395,B-11_bad,0.0,0.0,17.0,12_18,B-11,bad
396,B-6_at25,1.0,-0.006,17.0,12_18,B-6,at25
397,B-8_at25,1.0,-0.047,17.0,12_18,B-8,at25
398,B-11_at25,1.0,-0.046,17.0,12_18,B-11,at25
399,B-1_at25,1.0,-0.003,17.0,12_18,B-1,at25
400,B-0_at25,0.0,0.0,17.0,12_18,B-0,at25
401,B-9_at25,0.0,0.0,17.0,12_18,B-9,at25
